persnum1,tcinpsty
0343,012100
0343,002400
0343,001600
0345,000900
0345,001100
0345,003500
0345,002200
0345,002500
0345,003700
0346,004000
0346,002100
0347,001900
0348,003600
0348,002000
0348,001600
0348,010500
0348,005800
0350,000800
0351,004200
0352,002100
0353,002300
0353,005200
0355,003400
0355,008500
0357,001600
0362,001800
0363,004900
0363,004900
0364,005800
0364,006200
0364,010700
0367,001700
0367,002200
0367,002100
0367,010700
0367,003400
0367,013400
0367,003300
0367,005800
0367,001700
0367,003400
0368,005200
0368,001700
0368,002900
0370,008500
0371,001500
0371,001400
0371,002200
0371,002000
0371,001200
0371,001500
0371,003700
0371,000900
0371,001900
0371,002400
0371,002600
0371,002300
0371,000600
0372,002300
0372,002400
0372,001200
0372,000700
0373,001300
0373,005500
0373,005100
0373,003100
0373,002000
0373,002800
0373,002800
0373,003200
0374,003400
0374,002500
0374,005700
0374,028500
0374,021900
0374,004000
0375,002400
0375,011900
0376,002300
0378,003100
0378,002100
0379,002400
0379,005900
0379,015200
0379,010500
0380,003200
0380,001800
0380,003900
0382,021100
0383,001200
0383,002800
0384,001400
0384,003000
0384,001700
0384,004900
0384,001300
0384,003000
0384,001200
0385,002000
0385,002300
0385,001500
0385,001800
0385,003500
0385,002200
0385,000800
0386,001700
0386,006800
0386,018500
0386,002200
0386,011200
0386,005900
0386,003300
0387,009500
0388,002800
0389,000700
0389,016100
0389,003000
0389,002200
0389,001700
0389,000900
0389,002000
0390,000700
0390,002300
0390,005300
0390,001100
0390,001100
0390,005100
0390,001500
0391,001500
0391,013700
0392,002300
0392,003900
0392,009900
0392,001700
0392,005500
0392,003200
0392,010200
0392,010000
0394,001700
0394,002300
0394,001700
0394,002300
0394,003800
0394,002200
0394,002300
0394,001900
0397,012600
0397,006900
0398,006600
0398,002500
0398,000900
0399,001100
0399,002300
0399,002600
0399,005500
0400,002100
0400,001200
0400,001200
0400,003100
0400,002300
0400,001900
0400,001000
0403,006600
0404,000300
0404,005200
0405,001400
0405,003900
0405,001600
0405,005100
0405,001800
0405,000700
0405,000500
0405,000900
0405,001000
0405,001300
0405,000500
0405,001000
0405,001000
0405,009600
0405,002300
0405,005000
0405,002700
0405,013400
0408,003100
0408,003300
0408,008000
0410,003500
0410,003900
0410,002200
0410,001100
0410,004100
0412,001800
0412,006600
0412,004100
0412,004600
0413,004500
0417,002400
0417,006900
0417,001800
0417,002900
0417,022900
0417,008600
0418,008500
0420,002100
0420,028500
0421,006300
0421,004400
0421,009600
0421,014400
0421,003000
0422,078500
0423,001000
0423,001500
0423,001200
0423,006500
0424,001000
0424,009000
0426,001800
0426,005300
0427,008000
0428,001200
0429,003600
0429,005200
0431,001200
0431,004200
0431,002200
0431,000800
0433,003300
0433,005700
0435,018900
0436,001800
0436,004100
0436,001900
0436,003300
0436,003000
0436,010300
0436,003800
0443,002600
0443,011700
0444,002000
0444,002000
0444,002200
0445,001800
0445,008500
0446,003900
0446,001300
0448,005200
0449,012700
0451,006800
0451,015700
0451,004100
0451,006400
0452,002000
0452,005400
0452,000600
0452,012200
0453,004100
0453,005300
0453,001100
0453,003300
0453,005300
0453,003500
0457,002500
0457,003100
0457,003200
0457,003300
0457,002400
0457,003200
0457,003300
0457,002400
0457,002800
0457,003100
0457,003200
0458,001200
0458,001000
0458,000800
0458,003100
0458,005000
0465,001700
0465,001400
0465,001300
0465,000600
0465,002300
0465,001300
0465,000900
0465,001700
0465,002200
0465,004300
0466,005400
